date,price,production
1/1/2016,105,5508
1/2/2016,105,5508
1/3/2016,105,5508
1/4/2016,105,5508
1/5/2016,110,5508
1/6/2016,102,5508
1/7/2016,107,5508
1/8/2016,105,5508
1/9/2016,95,5508
1/10/2016,85,5508
1/11/2016,82,5508
1/12/2016,80,5508
1/13/2016,80,5508
1/14/2016,80,5508
1/15/2016,87,5508
1/16/2016,82,5508
1/17/2016,85,5508
1/18/2016,82,5508
1/19/2016,75,5508
1/20/2016,77,5508
1/21/2016,72,5508
1/22/2016,73,5508
1/23/2016,75,5508
1/24/2016,72,5508
1/25/2016,87,5508
1/26/2016,85,5508
1/27/2016,80,5508
1/28/2016,82,5508
1/29/2016,80,5508
1/30/2016,85,5508
1/31/2016,82,5508
2/1/2016,70,13970
2/2/2016,82,13970
2/3/2016,77,13970
2/4/2016,82,13970
2/5/2016,85,13970
2/6/2016,75,13970
2/7/2016,85,13970
2/8/2016,87,13970
2/9/2016,85,13970
2/10/2016,82,13970
2/11/2016,85,13970
2/12/2016,85,13970
2/13/2016,85,13970
2/14/2016,85,13970
2/15/2016,77,13970
2/16/2016,80,13970
2/17/2016,75,13970
2/18/2016,75,13970
2/19/2016,75,13970
2/20/2016,80,13970
2/21/2016,83,13970
2/22/2016,85,13970
2/23/2016,70,13970
2/24/2016,77,13970
2/25/2016,77,13970
2/26/2016,75,13970
2/27/2016,72,13970
2/28/2016,75,13970
2/29/2016,75,13970
3/1/2016,75,6885
3/2/2016,82,6885
3/3/2016,82,6885
3/4/2016,85,6885
3/5/2016,85,6885
3/6/2016,80,6885
3/7/2016,80,6885
3/8/2016,82,6885
3/9/2016,82,6885
3/10/2016,77,6885
3/11/2016,80,6885
3/12/2016,82,6885
3/13/2016,77,6885
3/14/2016,79,6885
3/15/2016,75,6885
3/16/2016,77,6885
3/17/2016,70,6885
3/18/2016,75,6885
3/19/2016,75,6885
3/20/2016,75,6885
3/21/2016,72,6885
3/22/2016,75,6885
3/23/2016,70,6885
3/24/2016,72,6885
3/25/2016,79,6885
3/26/2016,82,6885
3/27/2016,80,6885
3/28/2016,82,6885
3/29/2016,77,6885
3/30/2016,82,6885
3/31/2016,95,6885
4/1/2016,95,1139
4/2/2016,92,1139
4/3/2016,85,1139
4/4/2016,85,1139
4/5/2016,85,1139
4/6/2016,85,1139
4/7/2016,95,1139
4/8/2016,92,1139
4/9/2016,95,1139
4/10/2016,90,1139
4/11/2016,95,1139
4/18/2016,92,1139
4/19/2016,92,1139
4/20/2016,90,1139
4/21/2016,93,1139
4/22/2016,92,1139
4/23/2016,90,1139
4/24/2016,92,1139
4/25/2016,80,1139
4/26/2016,85,1139
4/27/2016,87,1139
4/28/2016,85,1139
4/29/2016,82,1139
4/30/2016,85,1139
5/1/2016,82,13600
5/2/2016,80,13600
5/3/2016,85,13600
5/4/2016,87,13600
5/5/2016,90,13600
5/6/2016,87,13600
5/7/2016,92,13600
5/8/2016,80,13600
5/9/2016,84,13600
5/10/2016,91,13600
5/11/2016,95,13600
5/12/2016,97,13600
5/13/2016,100,13600
5/14/2016,95,13600
5/15/2016,105,13600
5/16/2016,110,13600
